Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;,,,,,,,,
31/12/2021;9,15;1,00034749;980.678.531.706,4;142;9,15;9,15;9,15;0,018;367,469;
30/12/2021;9,15;1,00034749;1.004.921.876.080,05;201;9,15;9,15;9,15;0,022;163,99;
29/12/2021;9,15;1,00034749;1.111.620.648.725,49;791;9,15;9,14;9,15;0,024;223,13;
28/12/2021;9,15;1,00034749;1.115.080.204.356,67;779;9,15;9,14;9,15;0,022;260,401;
27/12/2021;9,15;1,00034749;1.127.542.307.322,32;814;9,15;9,14;9,15;0,023;181,89;
24/12/2021;9,15;1,00034749;1.067.174.930.038,87;343;9,15;9,15;9,15;0,024;189,27;
23/12/2021;9,15;1,00034749;1.073.399.941.922,86;309;9,15;9,15;9,15;0,02;370,512;
22/12/2021;9,15;1,00034749;1.183.573.365.238,32;798;9,15;9,14;9,15;0,023;272,782;
21/12/2021;9,15;1,00034749;1.209.192.259.697,53;848;9,15;9,14;9,15;0,026;212,746;
20/12/2021;9,15;1,00034749;1.222.118.218.500,38;811;9,15;9,14;9,15;0,021;314,467;
17/12/2021;9,15;1,00034749;1.245.628.914.443,92;842;9,15;9,14;9,15;0,023;246,475;
16/12/2021;9,15;1,00034749;1.290.416.288.939,5;825;9,15;9,14;9,15;0,021;306,126;
15/12/2021;9,15;1,00034749;1.283.112.680.611,02;962;9,15;9,14;9,15;0,031;121,498;
14/12/2021;9,15;1,00034749;1.291.830.390.236,01;810;9,15;9,14;9,15;0,021;280,51;
13/12/2021;9,15;1,00034749;1.301.564.366.236,86;753;9,15;9,14;9,15;0,024;217,411;
10/12/2021;9,15;1,00034749;1.318.290.291.911,23;772;9,15;9,14;9,15;0,022;270,195;
09/12/2021;9,15;1,00034749;1.296.853.047.498,67;760;9,15;9,14;9,15;0,019;666,735;
08/12/2021;7,65;1,00029256;1.249.690.253.957,72;788;7,65;7,64;7,65;0,015;589,149;
07/12/2021;7,65;1,00029256;1.284.096.898.228,5;823;7,65;7,64;7,65;0,014;715,289;
06/12/2021;7,65;1,00029256;1.271.760.918.154,44;788;7,65;7,64;7,65;0,014;715,251;
03/12/2021;7,65;1,00029256;1.290.984.887.456,49;829;7,65;7,64;7,65;0,013;795,978;
02/12/2021;7,65;1,00029256;1.294.881.851.361,29;824;7,65;7,64;7,65;0,014;708,981;
01/12/2021;7,65;1,00029256;1.289.566.471.612,02;819;7,65;7,64;7,65;0,014;667,155;
30/11/2021;7,65;1,00029256;1.238.002.368.994,44;789;7,65;7,64;7,65;0,014;657,111;
29/11/2021;7,65;1,00029256;1.253.346.216.575,19;761;7,65;7,64;7,65;0,014;678,664;
26/11/2021;7,65;1,00029256;1.243.193.233.877,42;820;7,65;7,64;7,65;0,015;630,03;
25/11/2021;7,65;1,00029256;1.269.744.083.349,13;791;7,65;7,64;7,65;0,014;830,976;
24/11/2021;7,65;1,00029256;1.290.513.852.331,84;823;7,65;7,64;7,65;0,014;750,953;
23/11/2021;7,65;1,00029256;1.301.891.012.659,91;776;7,65;7,64;7,65;0,014;682,45;
22/11/2021;7,65;1,00029256;1.304.601.833.024,79;805;7,65;7,64;7,65;0,014;670,436;
19/11/2021;7,65;1,00029256;1.347.704.555.718,17;756;7,65;7,64;7,65;0,014;774,137;
18/11/2021;7,65;1,00029256;1.374.150.947.275,48;809;7,65;7,64;7,65;0,013;1.203,555;
17/11/2021;7,65;1,00029256;1.369.052.434.917,14;805;7,65;7,64;7,65;0,014;938,967;
16/11/2021;7,65;1,00029256;1.376.402.500.615,03;826;7,65;7,64;7,65;0,014;957,208;
12/11/2021;7,65;1,00029256;1.363.796.947.100,02;787;7,65;7,64;7,65;0,014;1.020,608;
11/11/2021;7,65;1,00029256;1.398.935.077.564,77;812;7,65;7,64;7,65;0,014;1.003,268;
10/11/2021;7,65;1,00029256;1.386.789.099.535,66;783;7,65;7,64;7,65;0,013;1.046,731;
09/11/2021;7,65;1,00029256;1.390.104.425.853,29;803;7,65;7,64;7,65;0,013;1.105,253;
08/11/2021;7,65;1,00029256;1.366.638.018.098,19;815;7,65;7,64;7,65;0,014;888,951;
05/11/2021;7,65;1,00029256;1.350.898.641.286,19;806;7,65;7,64;7,65;0,014;871,555;
04/11/2021;7,65;1,00029256;1.378.188.335.605,15;793;7,65;7,64;7,65;0,014;895,101;
03/11/2021;7,65;1,00029256;1.381.288.043.256,31;816;7,65;7,64;7,65;0,015;697,909;
01/11/2021;7,65;1,00029256;1.375.109.348.518,1;823;7,65;7,64;7,65;0,015;711,353;
29/10/2021;7,65;1,00029256;1.395.181.372.125,31;809;7,65;7,64;7,65;0,015;764,014;
28/10/2021;7,65;1,00029256;1.415.137.509.264,89;784;7,65;7,64;7,65;0,031;1.843,8;
27/10/2021;6,15;1,00023687;1.394.563.319.397,64;812;6,15;6,14;6,15;0,014;1.037,212;
26/10/2021;6,15;1,00023687;1.407.894.117.266,26;788;6,15;6,14;6,15;0,014;887,529;
25/10/2021;6,15;1,00023687;1.450.817.599.873,61;809;6,15;6,14;6,15;0,014;958,894;
22/10/2021;6,15;1,00023687;1.447.056.594.010,04;802;6,15;6,14;6,15;0,014;842,144;
21/10/2021;6,15;1,00023687;1.460.592.645.826,24;813;6,15;6,14;6,15;0,014;919,983;
